transaction_id,transaction_date,branch_id,product_id,quantity,unit_price,discount_pct,revenue,cost
TRX0000001,2023-01-01,BR003,PD002,42.0,15000,0.0,630000.0,504000
TRX0000002,2023-01-01,BR006,PD018,7.0,3500,0.05,23275.0,17500
TRX0000003,2023-01-01,BR002,PD016,232.0,11000,0.0,2552000.0,1972000
TRX0000004,2023-01-01,BR006,PD001,20.0,22000,0.0,440000.0,370000
TRX0000005,2023-01-01,BR007,PD022,38.0,45000,0.05,1624500.0,1444000
TRX0000006,2023-01-01,BR003,PD009,18.0,2000,0.0,36000.0,27000
TRX0000007,2023-01-01,BR005,PD001,22.0,22000,0.1,435600.0,407000
TRX0000008,2023-01-01,BR001,PD009,371.0,2000,0.15,630700.0,556500
TRX0000009,2023-01-01,BR002,PD007,10.0,3300,0.0,33000.0,27000
TRX0000010,2023-01-01,BR001,PD007,23.0,3300,0.0,75900.0,62100
TRX0000011,2023-01-01,BR004,PD018,35.0,3500,0.05,116375.0,87500
TRX0000012,2023-01-01,BR008,PD012,39.0,18500,0.0,721500.0,585000
TRX0000013,2023-01-01,BR004,PD019,23.0,2500,0.1,51750.0,41400
TRX0000014,2023-01-01,BR002,PD025,2.0,34000,0.0,68000.0,56000
TRX0000015,2023-01-01,BR007,PD005,21.0,24000,0.15,428400.0,409500
TRX0000016,2023-01-01,BR001,PD009,349.0,2000,0.1,628200.0,523500
TRX0000017,2023-01-01,BR004,PD024,1.0,92000,0.0,92000.0,78000
TRX0000018,2023-01-01,BR004,PD006,23.0,3500,0.0,80500.0,64400
TRX0000019,2023-01-01,BR001,PD001,43.0,22000,0.15,804100.0,795500
TRX0000020,2023-01-01,BR004,PD005,452.0,24000,0.15,9220800.0,8814000
TRX0000021,2023-01-02,BR005,PD015,17.0,1800,0.0,30600.0,20400
TRX0000022,2023-01-02,BR006,PD014,28.0,3300,0.0,92400.0,75600
TRX0000023,2023-01-02,BR001,PD009,308.0,2000,0.0,616000.0,462000
TRX0000024,2023-01-02,BR002,PD014,18.0,3300,0.15,50490.0,48600
TRX0000025,2023-01-02,BR001,PD019,37.0,2500,0.0,92500.0,66600
TRX0000026,2023-01-02,BR008,PD005,21.0,24000,0.1,453600.0,409500
TRX0000027,2023-01-02,BR002,PD014,41.0,3300,0.0,135300.0,110700
TRX0000028,2023-01-02,BR003,PD017,22.0,15500,0.1,306900.0,264000
TRX0000029,2023-01-02,BR002,PD001,35.0,22000,0.1,693000.0,647500
TRX0000030,2023-01-02,BR002,PD001,23.0,22000,0.0,506000.0,425500
TRX0000031,2023-01-02,BR001,PD007,13.0,3300,0.0,42900.0,35100
TRX0000032,2023-01-02,BR002,PD004,272.0,28000,0.1,6854400.0,5984000
TRX0000033,2023-01-02,BR002,PD012,39.0,18500,0.0,721500.0,585000
TRX0000034,2023-01-02,BR003,PD011,37.0,20000,0.15,629000.0,610500
TRX0000035,2023-01-02,BR005,PD016,2.0,11000,0.15,18700.0,17000
TRX0000036,2023-01-02,BR007,PD006,31.0,3500,0.05,103075.0,86800
TRX0000037,2023-01-02,BR002,PD012,302.0,18500,0.0,5587000.0,4530000
TRX0000038,2023-01-02,BR007,PD014,5.0,3300,0.1,14850.0,13500
TRX0000039,2023-01-03,BR008,PD024,3.0,92000,0.0,276000.0,234000
TRX0000040,2023-01-03,BR004,PD022,117.0,45000,0.0,5265000.0,4446000
TRX0000041,2023-01-03,BR008,PD006,11.0,3500,0.05,36575.0,30800
TRX0000042,2023-01-03,BR005,PD019,7.0,2500,0.15,14875.0,12600
TRX0000043,2023-01-03,BR001,PD007,335.0,3300,0.1,994950.0,904500
TRX0000044,2023-01-03,BR001,PD007,1.0,3300,0.05,3135.0,2700
TRX0000045,2023-01-03,BR007,PD005,330.0,24000,0.0,7920000.0,6435000
TRX0000046,2023-01-03,BR001,PD001,119.0,22000,0.05,2487100.0,2201500
TRX0000047,2023-01-03,BR007,PD006,39.0,3500,0.1,122850.0,109200
TRX0000048,2023-01-03,BR005,PD014,5.0,3300,0.0,16500.0,13500
TRX0000049,2023-01-03,BR006,PD006,37.0,3500,0.15,110075.0,103600
TRX0000050,2023-01-03,BR004,PD024,266.0,92000,0.0,24472000.0,20748000
TRX0000051,2023-01-03,BR008,PD025,39.0,34000,0.0,1326000.0,1092000
TRX0000052,2023-01-03,BR001,PD008,29.0,11000,0.0,319000.0,246500
TRX0000053,2023-01-03,BR001,PD021,11.0,3000,0.1,29700.0,24200
TRX0000054,2023-01-03,BR006,PD014,14.0,3300,0.1,41580.0,37800
TRX0000055,2023-01-03,BR005,PD024,30.0,92000,0.0,2760000.0,2340000
TRX0000056,2023-01-04,BR006,PD005,5.0,24000,0.0,120000.0,97500
TRX0000057,2023-01-04,BR002,PD016,35.0,11000,0.05,365750.0,297500
TRX0000058,2023-01-04,BR008,PD001,3.0,22000,0.0,66000.0,55500
TRX0000059,2023-01-04,BR003,PD004,305.0,28000,0.0,8540000.0,6710000
TRX0000060,2023-01-04,BR004,PD011,24.0,20000,0.0,480000.0,396000
TRX0000061,2023-01-04,BR005,PD004,15.0,28000,0.0,420000.0,330000
TRX0000062,2023-01-04,BR001,PD004,22.0,28000,0.0,616000.0,484000
TRX0000063,2023-01-04,BR002,PD006,37.0,3500,0.1,116550.0,103600
TRX0000064,2023-01-04,BR003,PD015,28.0,1800,0.0,50400.0,33600
TRX0000065,2023-01-04,BR008,PD021,213.0,3000,0.0,639000.0,468600
TRX0000066,2023-01-04,BR008,PD020,30.0,2200,0.15,56100.0,45000
TRX0000067,2023-01-04,BR006,PD006,11.0,3500,0.0,38500.0,30800
TRX0000068,2023-01-04,BR001,PD012,26.0,18500,0.05,456950.0,390000
TRX0000069,2023-01-04,BR007,PD022,40.0,45000,0.15,1530000.0,1520000
TRX0000070,2023-01-04,BR003,PD022,272.0,45000,0.0,12240000.0,10336000
TRX0000071,2023-01-04,BR004,PD017,6.0,15500,0.0,93000.0,72000
TRX0000072,2023-01-04,BR001,PD025,11.0,34000,0.0,374000.0,308000
TRX0000073,2023-01-05,BR004,PD008,34.0,11000,0.05,355300.0,289000
TRX0000074,2023-01-05,BR004,PD009,17.0,2000,0.0,34000.0,25500
TRX0000075,2023-01-05,BR003,PD014,13.0,3300,0.15,36465.0,35100
TRX0000076,2023-01-05,BR006,PD017,38.0,15500,0.0,589000.0,456000
TRX0000077,2023-01-05,BR008,PD015,15.0,1800,0.0,27000.0,18000
TRX0000078,2023-01-05,BR002,PD007,39.0,3300,0.05,122265.0,105300
TRX0000079,2023-01-05,BR004,PD005,20.0,24000,0.05,456000.0,390000
TRX0000080,2023-01-05,BR007,PD015,22.0,1800,0.1,35640.0,26400
TRX0000081,2023-01-05,BR002,PD006,21.0,3500,0.1,66150.0,58800
TRX0000082,2023-01-05,BR004,PD011,38.0,20000,0.05,722000.0,627000
