product_id,product_name,principal_id,category,cost_price,selling_price
PD001,Sunsilk Shampoo 170ml,PR001,Personal Care,18500,22000
PD002,Pepsodent Pasta Gigi 190g,PR001,Personal Care,12000,15000
PD003,Lifebuoy Sabun 85g,PR001,Personal Care,4500,6000
PD004,Rexona Deodorant 50ml,PR001,Personal Care,22000,28000
PD005,Clear Shampoo 170ml,PR001,Personal Care,19500,24000
PD006,Indomie Goreng,PR002,Instant Noodle,2800,3500
PD007,Indomie Soto,PR002,Instant Noodle,2700,3300
PD008,Chitato Original 68g,PR002,Snacks,8500,11000
PD009,Bumbu Racik Indofood,PR002,Seasoning,1500,2000
PD010,Pop Mie Ayam Bawang,PR002,Instant Noodle,4800,6500
PD011,So Klin Detergent 800g,PR003,Home Care,16500,20000
PD012,Daia Detergent 800g,PR003,Home Care,15000,18500
PD013,Ekonomi Pencuci Piring 780ml,PR003,Home Care,11500,14500
PD014,Mie Sedaap Goreng,PR003,Instant Noodle,2700,3300
PD015,Top Coffee Susu,PR003,Beverage,1200,1800
PD016,Kopiko Permen 150g,PR004,Confectionery,8500,11000
PD017,Roma Kelapa 300g,PR004,Biscuit,12000,15500
PD018,Beng Beng Wafer,PR004,Confectionery,2500,3500
PD019,Torabika Cappuccino,PR004,Beverage,1800,2500
PD020,Energen Cereal Coklat,PR004,Beverage,1500,2200
PD021,Milo 3in1 Sachet,PR005,Beverage,2200,3000
PD022,Nescafe Classic 200g,PR005,Beverage,38000,45000
PD023,Bear Brand Susu 189ml,PR005,Dairy,9500,12000
PD024,Dancow Fortigro 800g,PR005,Dairy,78000,92000
PD025,Koko Krunch Cereal 170g,PR005,Cereal,28000,34000
